cap,subset,scheme,ov,IS_sh,IS_dd,OOS_sh,OOS_cagr,OOS_dd,OOS_vol,OOS_worst
NOCAP,NOHO,INV,True,1.5876832126719473,-0.08207105151430238,0.3667849829885863,0.014672518143752367,-0.1429621999082228,0.04212134320481307,-0.019572189952734246
NOCAP,CORE3,EQ,False,1.0830894919204095,-0.2016451604581987,0.6353263533894533,0.09462527644614083,-0.29791629025378197,0.1628318087001718,-0.12157456736338015
NOCAP,CORE3,EQ,True,0.8484624525106065,-0.1038936638413428,0.8621579162152395,0.05622456533983633,-0.10731104468333641,0.0659289687709905,-0.028486405465007976
NOCAP,CORE3,HLV,False,1.2028224805793106,-0.1394954844681714,0.5996901160801742,0.07262563509502673,-0.2500621707664422,0.1312000398601759,-0.10722692806336052
NOCAP,CORE3,HLV,True,1.0268592149978844,-0.10115725464809056,0.5525920486237119,0.02802152110128797,-0.13107331994404003,0.05247797070922212,-0.02564216774964158
NOCAP,CORE3,INV,False,1.2899239198607355,-0.09957947630969444,0.5204469565760448,0.05451739068353412,-0.22855709622647769,0.11456289411009514,-0.09477339382464364
NOCAP,CORE3,INV,True,1.4448148944746506,-0.08014491382765465,0.5392743538014583,0.025082112624996267,-0.11238255102789241,0.048058854502506895,-0.030657790167990095
NOCAP,CORE2,EQ,False,0.9065583433358213,-0.2831615437479831,0.6255156383440088,0.13603440342600592,-0.4466423846810954,0.2516577405038091,-0.18236185104507024
NOCAP,CORE2,EQ,True,-0.004738561154502913,-0.13140118730612949,0.8121782820987059,0.05743664767331835,-0.10204693638578699,0.07191207317449483,-0.042726304170818415
NOCAP,CORE2,HLV,False,0.9531082927986483,-0.22873973555302862,0.6156044271928112,0.11965696930160807,-0.4051879678356237,0.22238173682804416,-0.18229851350469944
NOCAP,CORE2,HLV,True,0.617709302476825,-0.10271790405142889,0.6785420558586174,0.04366898917466733,-0.12148754700569597,0.06619550200396437,-0.040323997004904626
NOCAP,CORE2,INV,False,0.9804130590637983,-0.19520548323373021,0.5861870923544565,0.10366406786129567,-0.38174982400549085,0.20264040503438852,-0.18224259333508144
NOCAP,CORE2,INV,True,0.603589381583289,-0.10326440534044756,0.5398960207040062,0.032475673052989595,-0.11487400182368779,0.06281772636069459,-0.041061483247491565
CAP8,FULL,EQ,False,1.1566915203406607,-0.20166420186213863,0.4774468520276167,0.046940844446363705,-0.33273139645499206,0.10833251666937746,-0.062065289797961234
CAP8,FULL,EQ,True,0.8216386364021903,-0.11794381794162134,0.42360702917646537,0.01881447487821508,-0.1032209470647325,0.046540297000460584,-0.02597481621534795
CAP8,FULL,HLV,False,1.2013039174322757,-0.17651335989807582,0.43935288359306923,0.039142071233147835,-0.29996584300566265,0.09837914413484315,-0.060489380410377595
CAP8,FULL,HLV,True,0.786712192526717,-0.11560205461703577,0.3965051873965451,0.015722824931314827,-0.12131916198169257,0.041503917444901985,-0.02806330636005519
CAP8,FULL,INV,False,1.2395526127305323,-0.15223496703526118,0.38856403526143446,0.0322556557572915,-0.2692940068560824,0.09274631835298808,-0.05890306360574569
CAP8,FULL,INV,True,0.5737514873968605,-0.11761649223575699,0.4293158650300658,0.01669778442046521,-0.10316855725341223,0.040468907067602304,-0.03106300348076978
