Date,prob,prob_scaled,raw,joint
2020-10-13,0.006025423236365292,0.07786242929675946,-0.005528256016131805,0
2020-10-14,0.004012879701085959,0.0444349268481553,0.00301855220826666,0
2020-10-15,0.00607207407377505,0.07863728010341675,-0.002211144911690012,0
2020-10-16,0.011979658048055453,0.176759767544755,-0.008404111152880984,0
2020-10-19,0.0076093989254624435,0.10417159990482557,-0.022273452505329795,0
2020-10-20,0.007006314823550627,0.09415462638848698,0.0003904597424979209,0
2020-10-21,0.01097061971617599,0.1600000648509424,0.00040102952361967546,0
2020-10-22,0.022189161634137183,0.34633533206808936,0.006199750710947732,0
2020-10-23,0.019864238589260143,0.3077193372271843,0.009214996021265524,0
2020-10-26,0.02079212107799587,0.32313107546812897,0.0011720931399713365,0
2020-10-27,0.020272601399846556,0.3145020719166486,0.011481820401543129,0
2020-10-28,0.009719218988018922,0.1392148245958294,0.00807937570007934,0
2020-10-29,0.009737793523520171,0.13952333982547066,0.002934901413781836,0
2020-10-30,0.006119309453709299,0.07942183991578061,0.0,0
2020-11-02,0.008575702552909016,0.12022149711516449,-0.0001074706046117721,0
2020-11-03,0.010093057788477236,0.1454241299840823,-0.005451063010870441,0
2020-11-04,0.017773290004110105,0.27298955984609174,0.01091416605595644,0
2020-11-05,0.009228673479777294,0.1310670698315466,0.005277349851715895,0
2020-11-06,0.01691901424659297,0.2588003984810812,0.01400392691230261,0
2020-11-09,0.013092680806250576,0.19524660786533254,0.0,0
2020-11-10,0.006120656868420151,0.07944421990794315,0.0,0
2020-11-11,0.005864257019856976,0.07518552616272799,0.0,0
2020-11-12,0.0065625582733024905,0.08678401655571889,0.0,0
2020-11-13,0.006803537808185406,0.09078658537033293,0.0,0
2020-11-16,0.007754503621155074,0.10658172792717224,-1.659034297214113e-05,0
2020-11-17,0.006372259114628146,0.08362322749399505,0.002577347698490883,0
2020-11-18,0.004413108296537514,0.05108255564223322,-0.0032827121288313624,0
