depth_scaled,volcap,subset,gate,overlay,IS_sh,IS_dd,IS_cagr,IS_vol,OOS_sh,OOS_cagr,OOS_dd,OOS_vol,OOS_worst,max_corr
False,True,CORE3B6,NONE,JOINT_PERC,1.2817372852465774,-0.1693694493246719,0.1414639315312498,0.10774279157991812,0.628400581762219,0.049536083337667236,-0.21273090422130203,0.08229236948274311,-0.045566941326147886,
False,True,CORE3B6,PROD_SIZE,OFF,1.2118968253250437,-0.20777242230730752,0.1998523088229871,0.16082159349743738,0.6893023598108464,0.08403533630349136,-0.25184017762643407,0.12903170283657772,-0.09286796119243726,0.3172766275673914
False,True,CORE3B6,PROD_SIZE,V2_BOOK,0.9376907292927983,-0.10093342597905919,0.06170817278838281,0.06619292685697593,0.6733844378633372,0.039624893025788754,-0.13450323414330467,0.06038999306235705,-0.036992489742796654,
False,True,CORE3B6,PROD_SIZE,V2_PERC,1.280276882859253,-0.16925122741302046,0.14075971947994015,0.10735089406612286,0.6502666921643662,0.04373752387373053,-0.19235438381622383,0.06952671495653878,-0.0388634840374795,
False,True,CORE3B6,PROD_SIZE,JOINT_PERC,1.280276882859253,-0.16925122741302046,0.14075971947994015,0.10735089406612286,0.6300421807449327,0.042996678257856136,-0.19375108618702297,0.07077036664929275,-0.0388634840374795,
False,True,CORE3B6,UT_GATE,OFF,0.6045669984824544,-0.2711999016488932,0.07590310536590095,0.13587209844437978,0.8929519232601887,0.10141119868837678,-0.1677693210415786,0.11550751733630218,-0.0948271597316025,0.35626612419657744
False,True,CORE3B6,UT_GATE,V2_BOOK,-0.5372692553876103,-0.13128617649647412,-0.022552064260799698,0.04089223169165008,0.6292485327937146,0.04273535258859895,-0.1375777502353468,0.07041107015895044,-0.03774548576870057,
False,True,CORE3B6,UT_GATE,V2_PERC,0.38917005765924684,-0.19585353209647827,0.02423917917424845,0.06735946141281549,0.756848333505729,0.0626296466172922,-0.17863389562150622,0.08501747599263218,-0.08183683305753105,
False,True,CORE3B6,UT_GATE,JOINT_PERC,0.38917005765924684,-0.19585353209647827,0.02423917917424845,0.06735946141281549,0.6734979739955552,0.054468264455518556,-0.19059988593449306,0.08395714883541129,-0.08183683305753105,
False,True,CORE3BB,NONE,OFF,1.166786283708791,-0.1969165262105309,0.16662459417312103,0.14042148418816747,0.7744537376876492,0.09892219853763007,-0.2251132736729733,0.13314535192113514,-0.09830591082663084,0.4352062837077598
False,True,CORE3BB,NONE,V2_BOOK,0.5480008650560295,-0.10216708431553867,0.02967843974727913,0.056250096807980786,0.6169355577396849,0.038772068573920127,-0.1632367313339249,0.065061103421538,-0.0609682930766129,
False,True,CORE3BB,NONE,V2_PERC,1.2919264959574686,-0.15596498798813307,0.1328368522359078,0.10043060666910814,0.5379005372135983,0.036819546982750806,-0.2353397071047203,0.07201344723590583,-0.0609682930766129,
False,True,CORE3BB,NONE,JOINT_PERC,1.2919264959574686,-0.15596498798813307,0.1328368522359078,0.10043060666910814,0.5422729886864763,0.038555490307007334,-0.2201517361270826,0.07490932852146845,-0.0609682930766129,
False,True,CORE3BB,PROD_SIZE,OFF,1.1642683056233811,-0.1967054407124379,0.1655505995687392,0.1398679649860907,0.7272460525500513,0.08230278158949478,-0.209293946037039,0.1183389616603107,-0.09546360273416604,0.43559268461141176
False,True,CORE3BB,PROD_SIZE,V2_BOOK,0.5623268793501327,-0.10206667401246372,0.030518510465101567,0.056269419326938186,0.6813345891746785,0.03926836086237695,-0.13150980096436526,0.059066490764354156,-0.03506698095569151,
False,True,CORE3BB,PROD_SIZE,V2_PERC,1.2886806865375953,-0.1558771493146609,0.1319639374361803,0.10005656329148496,0.5157699142444082,0.03314280143674786,-0.22815218800373804,0.06763711777852892,-0.05888446435044324,
False,True,CORE3BB,PROD_SIZE,JOINT_PERC,1.2886806865375953,-0.1558771493146609,0.1319639374361803,0.10005656329148496,0.5207526594584163,0.033753884043489224,-0.2235373202400257,0.06819815640039777,-0.05888446435044324,
False,True,CORE3BB,UT_GATE,OFF,0.5578751437360088,-0.24424121210656158,0.059077808964909106,0.11437858880449923,0.8234352191905203,0.08430906556461926,-0.16096981744962302,0.10488962885049108,-0.09830591082663084,0.4439692482237275
False,True,CORE3BB,UT_GATE,V2_BOOK,-0.2684752090261364,-0.1077721194203296,-0.01297171503955774,0.044878464552335136,0.7765337824462417,0.04669893429194216,-0.11330365117261154,0.06115689594401152,-0.03506698095569151,
False,True,CORE3BB,UT_GATE,V2_PERC,0.5203826175514131,-0.18095418366774085,0.0349816074386704,0.07087097865053692,0.7171401653247844,0.05498766809065603,-0.1260121381915541,0.07897005666739684,-0.07669155796669927,
False,True,CORE3BB,UT_GATE,JOINT_PERC,0.5203826175514131,-0.18095418366774085,0.0349816074386704,0.07087097865053692,0.7385903200176306,0.05759549663324681,-0.1258143563603923,0.0801452108163595,-0.07669155796669927,
True,False,CORE3,NONE,OFF,1.0421574743033823,-0.1897698359119343,0.11306388727874217,0.10843000194383554,0.38946363229343756,0.03771499754739627,-0.3243912760933113,0.11093792346620217,-0.12157456736338015,0.5207918301093208
