t,cb,budget,trail,cool,zcut,entries,train_t
2.5,0.999,0.075,0.75,5,-0.90625,586,2.110507419512329
2.0,0.99,0.05,0.65,3,-0.90625,586,2.1055324293638087
2.0,0.99,0.075,0.65,3,-0.90625,586,2.1055324293638087
2.0,0.995,0.05,0.65,3,-0.90625,586,2.1055324293638087
2.0,0.995,0.075,0.65,3,-0.90625,586,2.1055324293638087
2.0,0.999,0.05,0.65,3,-0.90625,586,2.1055324293638087
2.0,0.999,0.075,0.65,3,-0.90625,586,2.1055324293638087
2.5,0.99,0.05,0.65,3,-0.90625,586,2.1055324293638087
2.5,0.99,0.075,0.65,3,-0.90625,586,2.1055324293638087
2.5,0.995,0.05,0.65,3,-0.90625,586,2.1055324293638087
2.5,0.995,0.075,0.65,3,-0.90625,586,2.1055324293638087
2.5,0.999,0.05,0.65,3,-0.90625,586,2.1055324293638087
2.5,0.999,0.075,0.65,3,-0.90625,586,2.1055324293638087
1.5,0.99,0.02,0.75,5,-0.4479166666666665,858,2.09944799463877
1.5,0.995,0.02,0.75,5,-0.4479166666666665,858,2.09944799463877
1.5,0.999,0.02,0.75,5,-0.4479166666666665,858,2.09944799463877
2.0,0.99,0.02,0.85,0,-0.90625,586,2.0125069710524857
2.0,0.995,0.02,0.85,0,-0.90625,586,2.0125069710524857
2.0,0.999,0.02,0.85,0,-0.90625,586,2.0125069710524857
2.5,0.99,0.02,0.85,0,-0.90625,586,2.0125069710524857
2.5,0.995,0.02,0.85,0,-0.90625,586,2.0125069710524857
2.5,0.999,0.02,0.85,0,-0.90625,586,2.0125069710524857
2.0,0.99,0.05,0.85,5,-0.90625,586,1.93174987373728
2.0,0.995,0.05,0.85,5,-0.90625,586,1.93174987373728
2.0,0.999,0.05,0.85,5,-0.90625,586,1.93174987373728
2.5,0.99,0.05,0.85,5,-0.90625,586,1.93174987373728
2.5,0.995,0.05,0.85,5,-0.90625,586,1.93174987373728
2.5,0.999,0.05,0.85,5,-0.90625,586,1.93174987373728
1.5,0.99,0.02,0.65,5,-0.4479166666666665,858,1.9189987642896724
1.5,0.995,0.02,0.65,5,-0.4479166666666665,858,1.9189987642896724
1.5,0.999,0.02,0.65,5,-0.4479166666666665,858,1.9189987642896724
2.0,0.99,0.02,0.75,0,-0.90625,586,1.8617369524687732
2.0,0.995,0.02,0.75,0,-0.90625,586,1.8617369524687732
2.0,0.999,0.02,0.75,0,-0.90625,586,1.8617369524687732
2.5,0.99,0.02,0.75,0,-0.90625,586,1.8617369524687732
2.5,0.995,0.02,0.75,0,-0.90625,586,1.8617369524687732
2.5,0.999,0.02,0.75,0,-0.90625,586,1.8617369524687732
1.5,0.99,0.02,0.75,3,-0.4479166666666665,858,1.7625220307006146
1.5,0.995,0.02,0.75,3,-0.4479166666666665,858,1.7625220307006146
1.5,0.999,0.02,0.75,3,-0.4479166666666665,858,1.7625220307006146
2.0,0.99,0.02,0.65,0,-0.90625,586,1.6412196190912092
2.0,0.995,0.02,0.65,0,-0.90625,586,1.6412196190912092
2.0,0.999,0.02,0.65,0,-0.90625,586,1.6412196190912092
2.5,0.99,0.02,0.65,0,-0.90625,586,1.6412196190912092
2.5,0.995,0.02,0.65,0,-0.90625,586,1.6412196190912092
2.5,0.999,0.02,0.65,0,-0.90625,586,1.6412196190912092
1.5,0.99,0.02,0.85,3,-0.4479166666666665,858,1.6259542851174749
1.5,0.995,0.02,0.85,3,-0.4479166666666665,858,1.6259542851174749
1.5,0.999,0.02,0.85,3,-0.4479166666666665,858,1.6259542851174749
1.5,0.99,0.02,0.65,3,-0.4479166666666665,858,1.5235631936894267
1.5,0.995,0.02,0.65,3,-0.4479166666666665,858,1.5235631936894267
1.5,0.999,0.02,0.65,3,-0.4479166666666665,858,1.5235631936894267
2.0,0.99,0.02,0.85,3,-0.90625,586,1.1285980199230154
2.0,0.995,0.02,0.85,3,-0.90625,586,1.1285980199230154
2.0,0.999,0.02,0.85,3,-0.90625,586,1.1285980199230154
2.5,0.99,0.02,0.85,3,-0.90625,586,1.1285980199230154
2.5,0.995,0.02,0.85,3,-0.90625,586,1.1285980199230154
2.5,0.999,0.02,0.85,3,-0.90625,586,1.1285980199230154
2.0,0.99,0.02,0.75,3,-0.90625,586,1.1125349690968356
2.0,0.995,0.02,0.75,3,-0.90625,586,1.1125349690968356
2.0,0.999,0.02,0.75,3,-0.90625,586,1.1125349690968356
2.5,0.99,0.02,0.75,3,-0.90625,586,1.1125349690968356
2.5,0.995,0.02,0.75,3,-0.90625,586,1.1125349690968356
2.5,0.999,0.02,0.75,3,-0.90625,586,1.1125349690968356
2.0,0.99,0.05,0.65,5,-0.90625,586,0.8646243421462255
2.0,0.99,0.075,0.65,5,-0.90625,586,0.8646243421462255
2.0,0.995,0.05,0.65,5,-0.90625,586,0.8646243421462255
2.0,0.995,0.075,0.65,5,-0.90625,586,0.8646243421462255
2.0,0.999,0.05,0.65,5,-0.90625,586,0.8646243421462255
2.0,0.999,0.075,0.65,5,-0.90625,586,0.8646243421462255
