tbar,stor,zcut,trail,cb,cool,scale,train_t
1.25,1.5,-0.4479166666666665,0.6,0.5,5,0.46650018315663344,2.2320101453299834
1.25,1.5,-0.4479166666666665,0.6,0.5,7,0.46650018315663344,0.819807781192889
1.25,1.5,-0.4479166666666665,0.6,0.5,10,0.46650018315663344,1.9711186960821914
1.25,1.5,-0.4479166666666665,0.6,0.5,13,0.46650018315663344,2.7698559696265828
1.25,1.5,-0.4479166666666665,0.6,0.75,0,0.46650018315663344,2.976022620537504
1.25,1.5,-0.4479166666666665,0.6,0.75,1,0.46650018315663344,2.981539054611948
1.25,1.5,-0.4479166666666665,0.6,0.75,2,0.46650018315663344,2.1182472992058834
1.25,1.5,-0.4479166666666665,0.6,0.75,3,0.46650018315663344,2.5864402665971156
1.25,1.5,-0.4479166666666665,0.6,0.75,4,0.46650018315663344,2.5094486802644225
1.25,1.5,-0.4479166666666665,0.6,0.75,5,0.46650018315663344,2.2320101453299834
1.25,1.5,-0.4479166666666665,0.6,0.75,7,0.46650018315663344,0.819807781192889
1.25,1.5,-0.4479166666666665,0.6,0.75,10,0.46650018315663344,1.9711186960821914
1.25,1.5,-0.4479166666666665,0.6,0.75,13,0.46650018315663344,2.7698559696265828
1.25,1.5,-0.4479166666666665,0.6,0.9,0,0.46650018315663344,2.976022620537504
1.25,1.5,-0.4479166666666665,0.6,0.9,1,0.46650018315663344,2.981539054611948
1.25,1.5,-0.4479166666666665,0.6,0.9,2,0.46650018315663344,2.1182472992058834
1.25,1.5,-0.4479166666666665,0.6,0.9,3,0.46650018315663344,2.5864402665971156
1.25,1.5,-0.4479166666666665,0.6,0.9,4,0.46650018315663344,2.5094486802644225
1.25,1.5,-0.4479166666666665,0.6,0.9,5,0.46650018315663344,2.2320101453299834
1.25,1.5,-0.4479166666666665,0.6,0.9,7,0.46650018315663344,0.819807781192889
1.25,1.5,-0.4479166666666665,0.6,0.9,10,0.46650018315663344,1.9711186960821914
1.25,1.5,-0.4479166666666665,0.6,0.9,13,0.46650018315663344,2.7698559696265828
1.25,1.5,-0.4479166666666665,0.6,0.95,0,0.46650018315663344,2.976022620537504
1.25,1.5,-0.4479166666666665,0.6,0.95,1,0.46650018315663344,2.981539054611948
1.25,1.5,-0.4479166666666665,0.6,0.95,2,0.46650018315663344,2.1182472992058834
1.25,1.5,-0.4479166666666665,0.6,0.95,3,0.46650018315663344,2.5864402665971156
1.25,1.5,-0.4479166666666665,0.6,0.95,4,0.46650018315663344,2.5094486802644225
1.25,1.5,-0.4479166666666665,0.6,0.95,5,0.46650018315663344,2.2320101453299834
1.25,1.5,-0.4479166666666665,0.6,0.95,7,0.46650018315663344,0.819807781192889
1.25,1.5,-0.4479166666666665,0.6,0.95,10,0.46650018315663344,1.9711186960821914
1.25,1.5,-0.4479166666666665,0.6,0.95,13,0.46650018315663344,2.7698559696265828
1.25,1.5,-0.4479166666666665,0.6,0.99,0,0.46650018315663344,2.976022620537504
1.25,1.5,-0.4479166666666665,0.6,0.99,1,0.46650018315663344,2.981539054611948
1.25,1.5,-0.4479166666666665,0.6,0.99,2,0.46650018315663344,2.1182472992058834
